"name","pronunciation","meaning","type","length","weight","diet","teeth","food","how_moved","when_it_lived","found_it","taxonomy","foundators","year","species_type","comments","img_url","length_clean","diet_clean","num_taxonomy","site1","site2","site3","site4","era","time_range","start","end"
"Liaoceratops","lyow-serra-tops","'Liaoning horned face'","ceratopsian",NA,NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 127-121 million years ago","China","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia","Xu, Makovicky, Wang, Norell and You ","(2002) ","yanzigouensis","  Two almost complete Liaoceratops skulls have been found.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Liaoceratops.jpg",NA,"herbivorous",7,"China",NA,NA,NA,"Early Cretaceous","127-121 million years ago",127,121
"Ligabuesaurus","lee-gah-boo-sore-us","'[Dr Giancarlo] Ligabue lizard'","sauropod","24.0m",NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 121-99 million years ago","Argentina","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria","Bonaparte, GonzÃÂ¡lez Riga and ApesteguÃÂ­a ","(2006) ","leanzai","  Ligabuesaurus is known from fragmentary remains, including a maxilla (jawbone) with teeth, 6 cervical and dorsal vertebrae (part of the backbone), and girdle and limb bones.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Ligabuesaurus.jpg",24,"herbivorous",10,"Argentina",NA,NA,NA,"Early Cretaceous","121-99 million years ago",121,99
"Liliensternus","lil-ee-en-shtern-us","'[for] Lilienstern'","small theropod","5.0m",NA,"carnivorous",NA,NA,NA,"Late Triassic, 205-202 million years ago","France,
						
							Germany","Dinosauria, Saurischia, Theropoda, Neotheropoda","Huene ","(1934) ","liliensterni",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Liliensternus.jpg",5,"carnivorous",4,"France","Germany",NA,NA,"Late Triassic","205-202 million years ago",205,202
"Lophorhothon","lof-oh-roh-thon","'crested nose'","large ornithopod","4.5m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 84-71 million years ago","USA","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae","Xu, Makovicky, Wang, Norell and You ","(1960) ","atopus","  A disarticulated skull and skeleton belonging to Lophorhothon have been found.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Lophorhothon.jpg",4.5,"herbivorous",6,"USA",NA,NA,NA,"Late Cretaceous","84-71 million years ago",84,71
"Lophostropheus","lof-oh-stro-fee-us","'crested verebra'","large theropod","6.2m",NA,"carnivorous",NA,NA,NA,"Early Jurassic, 203-196 million years ago","France","Dinosauria, Saurischia","Ezcurra and Cuny ","2007 (1993) ","airelensis","  Our knowledge of Lophostropheus is based on a tooth, vertebrae and part of a pelvis.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/lophostropheus.jpg",6.2,"carnivorous",2,"France",NA,NA,NA,"Early Jurassic","203-196 million years ago",203,196
"Lufengosaurus","Loo-FUNG-oh-SORE-us","'Lufeng lizard'","prosauropod","6.0m",NA,"herbivorous",NA,NA,NA,"Early Jurassic, 200-195 million years ago","China","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria, Plateosauridae","Young ","(1941) ","huenei",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/lufengos.jpg",6,"herbivorous",6,"China",NA,NA,NA,"Early Jurassic","200-195 million years ago",200,195
"Lurdusaurus","loor-duh-sore-us","'heavy lizard'","large ornithopod","9.0m",NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 121-112 million years ago","Niger","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea","Taquet & Russell ","(1999) ","arenatus","  Lurdusaurus is known from a partial skull and postcranium.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Lurdusaurus.jpg",9,"herbivorous",9,"Niger",NA,NA,NA,"Early Cretaceous","121-112 million years ago",121,112
"Lycorhinus","liek-oh-rien-us","'wolf snout'","small ornithischian","1.2m",NA,"herbivorous",NA,NA,NA,"Late Triassic, 205-195 million years ago","South Africa","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Heterodontosauridae","Haughton ","(1924) ","angustidens",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Lycorhinus.jpg",1.2,"herbivorous",5,"SouthAfrica",NA,NA,NA,"Late Triassic","205-195 million years ago",205,195
"Magyarosaurus","mod-yar-oh-sore-us","'Magyar lizard'","sauropod","5.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 71-66 million years ago","Romania","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia","Nopcsa ","(1915) ","dacus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Magyarosaurus.jpg",5,"herbivorous",11,"Romania",NA,NA,NA,"Late Cretaceous","71-66 million years ago",71,66
"Maiasaura","my-ah-SORE-ah","'good mother lizard'","large ornithopod","9.0m","2500kg","herbivorous",NA,NA,NA,"Late Cretaceous, 80-75 million years ago","USA","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae","Horner and Makela ","(1979) ","peeblesorum",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/maia.jpg",9,"herbivorous",6,"USA",NA,NA,NA,"Late Cretaceous","80-75 million years ago",80,75
"Majungasaurus","mah-joon-gah-sore-us","'Majunga lizard'","large theropod","6.0m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 84-71 million years ago","Madagascar","Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Abelisauridae","Sues & Taquet ","(1979) ","atopus","  Majungasaurus is known from a complete skull and partial skeletons.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Majungatholus.jpg",6,"carnivorous",6,"Madagascar",NA,NA,NA,"Late Cretaceous","84-71 million years ago",84,71
"Malawisaurus","mah-lah-wee-sore-us","'Malawi lizard'","sauropod","9.0m",NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 121-112 million years ago","Malawi","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia","Haughton ","(1928) ","dixeyi","  Skull elements, teeth, vertebrae, limb bones and osteoderms (armour) of several individuals have been found.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Malawisaurus.jpg",9,"herbivorous",11,"Malawi",NA,NA,NA,"Early Cretaceous","121-112 million years ago",121,112
"Mamenchisaurus","mah-men-chi-sore-us","'Mamenchi lizard'","sauropod","22.0m",NA,"herbivorous",NA,NA,NA,"Late Jurassic, 155-145 million years ago","China","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda","Young ","(1954) ","constructus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/mamench.jpg",22,"herbivorous",5,"China",NA,NA,NA,"Late Jurassic","155-145 million years ago",155,145
"Mapusaurus","mah-puh-sore-us","'Earth (Mapuche language, Patagonia) lizard'","large theropod","13.0m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 99-94 million years ago","Argentina","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria, Allosauroidea, Allosauridae, Charcharodontosauridae, Giganotosaurinae","Coria and Currie ","(2006) ","roseae","  This dinosaur may have hunted in packs and lived in family groups. Mapusaurus may have been larger than Giganotosaurus, making it the largest meat eating dinosaur found so far.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Mapusaurus.jpg",13,"carnivorous",11,"Argentina",NA,NA,NA,"Late Cretaceous","99-94 million years ago",99,94
"Marshosaurus","marsh-oh-sore-us","'[Othniel Charles] Marsh lizard'","large theropod","6.0m",NA,"carnivorous",NA,NA,NA,"Late Jurassic, 154-142 million years ago","USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda","Madsen ","(1976) ","bicentesimus","  Marshosaurus is known from a partial skull and postcranium.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Marshosaurus.jpg",6,"carnivorous",6,"USA",NA,NA,NA,"Late Jurassic","154-142 million years ago",154,142
"Masiakasaurus","mah-shee-ah-kah-sore-us","'vicious lizard'","small theropod","2.0m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 84-71 million years ago","Madagascar","Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria, Abelisauroidea, Abelisauria","Sampson, Carrano & Forster ","(2001) ","knopfleri",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Masiakasaurus.jpg",2,"carnivorous",8,"Madagascar",NA,NA,NA,"Late Cretaceous","84-71 million years ago",84,71
"Massospondylus","mass-oh-SPON-di-luss","'massive vertebrae'","prosauropod","4.0m","70kg","omnivorous",NA,NA,NA,"Early Jurassic, 208-204 million years ago","Lesotho,
						
							South Africa,
						
							Zimbabwe","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria, Plateosauridae","Owen ","(1854) ","carinatus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/massospon.jpg",4,"omnivorous",6,"Lesotho","SouthAfrica","Zimbabwe",NA,"Early Jurassic","208-204 million years ago",208,204
"Maxakalisaurus","max-aka-li-sore-us","'Maxakali (tribe of Brazil) lizard'","sauropod","13.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 80 million years ago","Brazil","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia, Saltasauridae, Saltasaurinae","Kellner et al. ","(2006) ","topai","  Maxakalisaurus is known from a partial skeleton, including some skull fragments and osteoderms (large skin adornments). Its teeth were ridged, unusual for sauropods. Some of the bones bear teeth marks, suggesting scavenging activity.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Maxakalisaurus.jpg",13,"herbivorous",13,"Brazil",NA,NA,NA,"Late Cretaceous","80 million years ago",80,80
"Megalosaurus","MEG-ah-low-sore-us","'big lizard'","large theropod","6.0m",NA,"carnivorous",NA,NA,NA,"Mid Jurassic, 166 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Theropoda, Megalosauridae, Megalosaurinae","Mantell ","(1827) ","bucklandii","  Megalosaurus was a large, meat-eating dinosaur. It was one of the first dinosaurs ever found and the first named.  When Megalosaurus fossils were first discovered during the seventeenth and eighteenth centuries, nobody knew what a dinosaur was.  From tim","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/megalosaurus.jpg",6,"carnivorous",5,"England","UnitedKingdom",NA,NA,"Mid Jurassic","166 million years ago",166,166
"Melanorosaurus","me-lan-or-oh-sore-us","'Black [Mountain] lizard'","prosauropod","12.0m",NA,"omnivorous",NA,NA,NA,"Late Triassic, 227-221 million years ago","South Africa","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria, Melanorosauridae","Haughton ","(1924) ","readi","  Melanorosaurus is a very early sauropod.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Melanorosaurus.jpg",12,"omnivorous",6,"SouthAfrica",NA,NA,NA,"Late Triassic","227-221 million years ago",227,221
"Metriacantho-saurus","met-ree-a-kan-tho-sore-us","'moderately-spined lizard'","large theropod","8.2m",NA,"carnivorous",NA,NA,NA,"Late Jurassic, 159-154 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae","Walker ","(1964) ","parkeri","  Metriacanthosaurus is known only from a partial postcranial skeleton, so reconstructions are guesswork based on similar dinosaurs.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Metriacanthosaurus.jpg",8.2,"carnivorous",5,"England","UnitedKingdom",NA,NA,"Late Jurassic","159-154 million years ago",159,154
"Microceratus","mike-row-ker-ah-tuss","'tiny horned'","ceratopsian","0.5m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 86-66 million years ago","China,
						
							Mongolia","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria","Bohlin ","(1953) ","gobiensis"," Microceratops This dinosaur was originally named Microceratops but, 50 years later, scientists realised that the name had already been taken by a species of beetle. So, in 2008, the name was changed to Microceratus.  We don't know how large this dinosaur ","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/microceratus.jpg",0.5,"herbivorous",8,"China","Mongolia",NA,NA,"Late Cretaceous","86-66 million years ago",86,66
"Micropachy-cephalosaurus","mike-row-pak-ee-keff-ah-loh-sore-us","'tiny thick-headed lizard'","ceratopsian","0.6m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 84-71 million years ago","China","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Pachycephalosauria","Dong ","(1978) ","hongtuyanensis",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Micropachycephalosaurus.jpg",0.6,"herbivorous",6,"China",NA,NA,NA,"Late Cretaceous","84-71 million years ago",84,71
"Microraptor","MIKE-roe-rap-tor","'tiny plunderer'","small theropod","0.8m","1kg","carnivorous","small, sharp, pointed","other animals, including fish, lizards and possibly insects",NA,"Early Cretaceous, 120 million years ago","China","Dinosauria, Saurischia, Theropoda, Dromaeosauridae","Xu, Zhou and Wang ","(2000) ","zhaoianus"," Microraptor Microraptor was a very small, feathered dinosaur with wings on its legs as well as its arms. Velociraptor As a member of the dromaeosaur group, it was related to the well-known dinosaur, Velociraptor. Microraptor Of all the dromaeosaurs, we ha","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/microraptor.jpg",0.8,"carnivorous",4,"China",NA,NA,NA,"Early Cretaceous","120 million years ago",120,120
"Minmi","min-mie","'named after Minmi Crossing, Queensland'","armoured dinosaur","3.0m",NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 121-112 million years ago","Australia","Dinosauria, Ornithischia, Thyreophora, Ankylosauria","Molnar ","(1980) ","paravertebra","  This dinosaur is known from an almost complete skeleton with armour in place.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Minmi.jpg",3,"herbivorous",4,"Australia",NA,NA,NA,"Early Cretaceous","121-112 million years ago",121,112
"Monolopho-saurus","mono-Loh-foh-sore-us","'single-crested lizard'","large theropod","5.7m",NA,"carnivorous",NA,NA,NA,"Mid Jurassic, 180-159 million years ago","China","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria","Zhao and Currie ","(1993) ","jiangi","  Monolophosaurus had a long bony crest on its head, perhaps for display.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Monolophosaurus.jpg",5.7,"carnivorous",7,"China",NA,NA,NA,"Mid Jurassic","180-159 million years ago",180,159
"Mononykus","mono-Nike-us","'single claw'","small theropod","1.0m",NA,"unknown",NA,NA,NA,"Late Cretaceous, 81-68 million years ago","China,
						
							Mongolia","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Alvarezsauridae","Perle, Norell, Chiappe and Clark ","(1993) ","olecranus","  Mononykus is known from partial skeletons.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Mononykus.jpg",1,NA,11,"China","Mongolia",NA,NA,"Late Cretaceous","81-68 million years ago",81,68
"Mussaurus","moos-SORE-us","'mouse lizard'","prosauropod","3.0m",NA,"herbivorous",NA,NA,NA,"Late Triassic, 221-210 million years ago","Argentina","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria, Plateosauridae","Bonaparte and Vince ","(1979) ","patagonicus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/muss.jpg",3,"herbivorous",6,"Argentina",NA,NA,NA,"Late Triassic","221-210 million years ago",221,210
"Muttaburra-saurus","MUT-a-BURR-a-SORE-us","'Muttaburra lizard'","large ornithopod","7.0m",NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 110-100 million years ago","Australia","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea","Bartholomai and Molnar ","(1981) ","langdoni",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/muttab.jpg",7,"herbivorous",9,"Australia",NA,NA,NA,"Early Cretaceous","110-100 million years ago",110,100
"Nanshiungo-saurus","nahn-shyung-oh-sore-us","'Nanxiong lizard'","large theropod","4.4m",NA,"omnivorous",NA,NA,NA,"Late Cretaceous, 84-71 million years ago","China","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Therizinosauroidea, Therizinosauridae","Dong ","(1979) ","brevispinus","  Only the vertebral column and pelvis of Nanshiungosaurus have been found, no skull. So the shape of the head in reconstructions is based on similar dinosaurs.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nanshiungosaurus.jpg",4.4,"omnivorous",12,"China",NA,NA,NA,"Late Cretaceous","84-71 million years ago",84,71
"Nedoceratops","ned-o-ker-ah-tops","'insufficient horned face'","ceratopsian","7.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 66 million years ago","USA","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Chasmosaurinae","Lull ","(1905) ","hatcheri",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Diceratops.jpg",7,"herbivorous",10,"USA",NA,NA,NA,"Late Cretaceous","66 million years ago",66,66
"Nemegtosaurus","Nem-egg-tow-sore-us","'Nemegt lizard'","sauropod","13.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 72-68 million years ago","Mongolia","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Nemegtosauridae","Nowinski ","(1971) ","mongoliensis","  Nemegtosaurus is only known from a skull and mandible (lower jawbone), so reconstructions are speculative.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nemegtosaurus.jpg",13,"herbivorous",8,"Mongolia",NA,NA,NA,"Late Cretaceous","72-68 million years ago",72,68
"Neovenator","nee-oh-ve-nay-tor","'new hunter'","large theropod","7.4m",NA,"carnivorous",NA,NA,NA,"Early Cretaceous, 127-121 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Theropoda, Carcharodontosauridae","Hutt, Martill and Barker ","(1996) ","salerii","  Neovenator is known from a partial skull and skeleton.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Neovenator.jpg",7.4,"carnivorous",4,"England","UnitedKingdom",NA,NA,"Early Cretaceous","127-121 million years ago",127,121
"Neuquensaurus","nayoo-ken-sore-us","'Neuquen (River) lizard'","sauropod","15.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 71-66 million years ago","Argentina","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia, Saltasauridae","Lydekker ","(1893) ","australis"," Neuquensaurus Neuquensaurus was a relatively small sauropod. It had hardened, bone-like, raised scales on its back, which would have acted as protective armour. This was quite unusual for a sauropod, but some of its closest relatives - such as Antarctosau","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Neuquenosaurus.jpg",15,"herbivorous",12,"Argentina",NA,NA,NA,"Late Cretaceous","71-66 million years ago",71,66
"Nigersaurus","nee-zhayr-sore-us","'Niger lizard'","sauropod","15.0m",NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 121-99 million years ago","Algeria,
						
							Niger,
						
							Tunisia","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Rebbachisauridae","Sereno, Beck, Dutheil, Larsson, Lyon, Moussa, Sadleir, Sidor, Varricchio, Wilson & Wilson ","(1999) ","taqueti","  A partial Nigersaurus skull and numerous postcranial bones have been found.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nigersaurus.jpg",15,"herbivorous",8,"Algeria","Niger","Tunisia",NA,"Early Cretaceous","121-99 million years ago",121,99
"Nipponosaurus","nip-on-oh-sore-us","'Japanese lizard'","large ornithopod",NA,NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 89-84 million years ago","Russia","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Lambeosaurinae","Nagao ","(1936) ","sachalinensis","  Our knowledge of Nipponosaurus is based on a partial skull and postcranial of a juvenile.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nipponosaurus.jpg",NA,"herbivorous",5,"Russia",NA,NA,NA,"Late Cretaceous","89-84 million years ago",89,84
"Noasaurus","noh-ah-sore-us","'northwestern Argentina lizard'","small theropod","1.0m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 84-66 million years ago","Argentina","Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria, Abelisauroidea, Abelisauria","Bonaparte and Powell ","(1980) ","leali","  A skull and some postcranial remains of Noasaurus have been found.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Noasaurus.jpg",1,"carnivorous",8,"Argentina",NA,NA,NA,"Late Cretaceous","84-66 million years ago",84,66
"Nodosaurus","no-doh-SORE-us","'node lizard'","armoured dinosaur","5.0m",NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 110-100 million years ago","USA","Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Nodosauridae","Marsh ","(1889) ","textilis",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/nodo.jpg",5,"herbivorous",5,"USA",NA,NA,NA,"Early Cretaceous","110-100 million years ago",110,100
"Nomingia","noh-ming-ee-uh","'Nomingiin'","small theropod","1.6m",NA,"omnivorous",NA,NA,NA,"Late Cretaceous, 72-68 million years ago","Mongolia","Dinosauria, Saurischia, Theropoda, Caenagnathidae","Barsbold, OsmÃÂ³lska, Watabe, Currie and Tsogtbaatar ","(2000) ","gobiensis","  Nomingia is known from a partial postcranium. The skull has not been found, so this is reconstructed from similar dinosaurs.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nomingia.jpg",1.6,"omnivorous",4,"Mongolia",NA,NA,NA,"Late Cretaceous","72-68 million years ago",72,68
"Nothronychus","noh-thron-i-kus","'sloth-like claw'","large theropod","5.3m",NA,"omnivorous",NA,NA,NA,"Late Cretaceous, 94-89 million years ago","USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Therizinosauroidea, Therizinosauridae","Kirkland and Wolfe ","(2001) ","mckinleyi","  A partial skull and postcranium of Nothronychus have been found. This odd dinosaur may even have evolved from a carnivore to a herbivore.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nothronychus.jpg",5.3,"omnivorous",12,"USA",NA,NA,NA,"Late Cretaceous","94-89 million years ago",94,89
"Nqwebasaurus","n-qu-web-ah-sore-us","'Nqweba lizard'","small theropod","1.0m",NA,"carnivorous",NA,NA,NA,"Mid Jurassic, 159-132 million years ago","South Africa","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria","de Klerk, Forster, Sampson, Chinsamy and Ross ","(2000) ","thwazi","  Nqwebasaurus is known from a partial skeleton lacking the skull, so the shape of the head is based on similar dinosaurs.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nqwebasaurus.jpg",1,"carnivorous",7,"SouthAfrica",NA,NA,NA,"Mid Jurassic","159-132 million years ago",159,132
"Omeisaurus","oh-mee-sore-us","'Omei lizard'","sauropod","20.0m",NA,"herbivorous",NA,NA,NA,"Mid Jurassic, 169-159 million years ago","China","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda","Young ","(1939) ","junghsiensis",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Omeisaurus.jpg",20,"herbivorous",5,"China",NA,NA,NA,"Mid Jurassic","169-159 million years ago",169,159
"Opisthocoeli-caudia","o-pis-tho-seel-i-cawd-ee-a","'hollow-backed tail [vertebrae]'","sauropod","12.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 72-68 million years ago","Mongolia","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia, Saltasauridae","Borsuk-Bialynicka ","(1977) ","skarzynskii","  Opisthocoelicaudia is known from a skeleton that lacks the skull and neck, so their reconstruction is based on similar dinosaurs.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Opisthocoelicaudia.jpg",12,"herbivorous",12,"Mongolia",NA,NA,NA,"Late Cretaceous","72-68 million years ago",72,68
"Ornitholestes","Or-nith-oh-LES-teez","'bird robber'","small theropod","2.0m",NA,"carnivorous",NA,NA,NA,"Late Jurassic, 150-144 million years ago","USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria","Osbourne ","(1933) ","hermanni",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ornithol.jpg",2,"carnivorous",7,"USA",NA,NA,NA,"Late Jurassic","150-144 million years ago",150,144
