"name","pronunciation","meaning","type","length","weight","diet","teeth","food","how_moved","when_it_lived","found_it","taxonomy","foundators","year","species_type","comments","img_url","length_clean","diet_clean","num_taxonomy","site1","site2","site3","site4","era","time_range","start","end"
"Datousaurus","dah-too-SORE-us","'Datou lizard'","sauropod","15.0m",NA,"herbivorous",NA,NA,NA,"Mid Jurassic, 170 million years ago","China","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda","Dong and Tang ","(1984) ","bashanensis",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/datou.jpg",15,"herbivorous",4,"China",NA,NA,NA,"Mid Jurassic","170 million years ago",170,170
"Deinocheirus","DINE-oh-KIRE-us","'terrible hand'","large theropod","10.0m",NA,"omnivorous",NA,NA,NA,"Late Cretaceous, 70-66 million years ago","Mongolia","Dinosauria, Saurischia, Theropoda, Ornithomimosauria","OsmÃÂ³lska and Roniewicz ","(1970) ","mirificus","  Originally, scientists only had a pair of arm bones with big, long claws to learn about Deinocheirus. But in 2014, new material revealed that it had a unique, large hump on its back, supported by its back bones. Now we know that it was a truly bizarre-lo","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/deinoc.jpg",10,"omnivorous",4,"Mongolia",NA,NA,NA,"Late Cretaceous","70-66 million years ago",70,66
"Deinonychus","dye-NON-ick-us","'terrible claw'","small theropod","3.4m","100kg","carnivorous","backward-curving","plant-eating dinosaurs and other vertebrates, such as mammals","on 2 legs","Early Cretaceous, 115-108 million years ago","USA","Dinosauria, Saurischia, Theropoda, Dromaeosauridae","Ostrom ","(1969) ","antirrhopus","  Deinonychus was a small meat-eating dinosaur. It lived in what is now North America during the Early Cretaceous Period.  This dinosaur had a large, sickle-shaped talon on the second toe of each foot. When not in use the claw was held off the ground to ke","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/deinonychus.jpg",3.4,"carnivorous",4,"USA",NA,NA,NA,"Early Cretaceous","115-108 million years ago",115,108
"Deltadromeus","del-tah-drohm-ee-us","'delta runner'","large theropod","8.1m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 99-94 million years ago","Morocco","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria","Sereno, Duthiel, Iarochene, Larsson, Lyon, Magwene, Sidor, Varricchio and Wilson ","(1996) ","agilis","  Deltadromeus is known from a single partial skeleton.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Deltadromeus.jpg",8.1,"carnivorous",7,"Morocco",NA,NA,NA,"Late Cretaceous","99-94 million years ago",99,94
"Dicraeosaurus","die-KRAY-oh-SORE-us","'forked lizard'","sauropod","20.0m",NA,"herbivorous",NA,NA,NA,"Late Jurassic, 150-135 million years ago","Tanzania","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Dicraeosauridae","Janensch ","(1914) ","hansemanni","  This dinosaur is named 'forked lizard' because of the forked spines in its backbone.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Dicraeosaurus.jpg",20,"herbivorous",8,"Tanzania",NA,NA,NA,"Late Jurassic","150-135 million years ago",150,135
"Dilophosaurus","die-LOAF-oh-sore-us","'two-ridged lizard'","large theropod","6.0m","300kg","carnivorous","lots of sharp and curved teeth","other animals","on 2 legs","Early Jurassic, 190 million years ago","USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Dilophosauridae","wetherilli ",NA,"wetherilli","  Dilophosaurus was a fast-moving meat-eating dinosaur.  A kink in its upper jaw may mean that it ate a certain kind of food, or attacked by gripping and holding on to prey - modern crocodiles have a similar kink.  The pair of thin bony crests on its head ","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/dilopho.jpg",6,"carnivorous",5,"USA",NA,NA,NA,"Early Jurassic","190 million years ago",190,190
"Diplodocus","DIP-low DOCK-us","'double beam'","sauropod","26.0m","15000kg","herbivorous","rows of teeth like a comb","leaves from trees and soft plants","on 4 legs","Late Jurassic, 152-145 million years ago","USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Diplodocidae","Marsh ","(1878) ","longus","  Diplodocus had a long neck that it would have used to reach high and low vegetation, and to drink water. There has been some debate over how such a long neck would have been held.  Scientists now think that ligaments running from the hip to the back of t","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/diplodocus.jpg",26,"herbivorous",8,"USA",NA,NA,NA,"Late Jurassic","152-145 million years ago",152,145
"Dracorex","dray-ko-rex","'Dragon king'","pachycephalosaur","4.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 66 million years ago","USA","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Pachycephalosauria, Pachycephalosauridae","Bakker, Sullivan, Porter, Larson and Saulsbury ","(2006) ","hogwartsia","  Dracorex is a pachycephalosaur from the end of the Cretaceous Period which was identified after the discovery of a spectacular skull. The skull lacks the dome characteristic of this group and instead has spikes and frills reminiscent of a mythical dragon","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Dracorex.jpg",4,"herbivorous",7,"USA",NA,NA,NA,"Late Cretaceous","66 million years ago",66,66
"Dreadnoughtus","dred-NAW-tus","'fears nothing'","sauropod","26.0m",NA,"herbivorous",NA,NA,"on four legs","Late Cretaceous, 76-70 million years ago","Argentina","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria","Lacovara and colleagues ","(2014) ","schrani","  Dreadnoughtus was a giant sauropod, a member of the group called titanosaurs. It lived in South America during the Cretaceous Period.  Many titanosaurs are known from only a few bones, but scientists have found around half of the skeleton of Dreadnoughtu","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/dreadnoughtus-c.jpg",26,"herbivorous",10,"Argentina",NA,NA,NA,"Late Cretaceous","76-70 million years ago",76,70
"Dromaeosaurus","DROM-ee-oh-saw-russ","'running lizard'","small theropod","1.8m","15kg","carnivorous","small, razor-sharp, backward-curving teeth","vertebrates","on 2 legs","Late Cretaceous, 76-74 million years ago","Canada,
						
							USA","Dinosauria, Saurischia, Theropoda, Dromaeosauridae","Matthew and Brown ","(1922) ","albertensis","  The back foot of this dinosaur had a large claw for kicking.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/droma.jpg",1.8,"carnivorous",4,"Canada","USA",NA,NA,"Late Cretaceous","76-74 million years ago",76,74
